"Detalles de la queja, sugerencia o felicitación",etiqueta
funcionar computadora falta red,negativa
felicidad,positiva
computadora lenta siquiera conectado internet estable,negativa
laboratorio excelente condición,positiva
apatico,negativa
servicio,neutra
servicio,neutra
exelente,positiva
computadora lenta,negativa
felicidad,positiva
ningun equipo prender,negativa
contacto luz conectar caso traer lap,neutra
agradecer azure,positiva
agregar lector disco,neutra
verificar disco duro,neutra
servicio eficiente,positiva
agradar computadora,positiva
quemador disco requerir grabar informacion disco solicitar catt tt,neutra
maquina tenia internet,neutra
simplemente futuro maquina conexion internet,neutra
futuro ordenador conexion internet,neutra
quizar futuro maquina conexion internet quizar vigilir volver robar equipo computo,negativa
internet,neutra
mayoria personal parecierar favor solicitar informacion ventanilla via telefonica ocasion limitar decir yo informacion encontrar pagina encontrar url formulario vencido informacion semestre,negativa
gustariar comunicar yo postular yo catedratico experto area analisis vizualizador dato ano mundo corporativo importante empresa retrail curso nacional internacional buscar seguir compartir conocimiento quedo atento respuesta saludo,neutra
felicitación,positiva
internet dema computadora,neutra
ojala internet tuvieramos esperar desocupir,neutra
felicitacion,positiva
excelente,positiva
futuro aumentar numero computadora conexion internet,neutra
mayoria computadora internet,positiva
falta internet compus programa necesario,negativa
maquina internet,neutra
internet maquina,neutra
atencion,neutra
internet ptra maquina,neutra
felicidad,positiva
servicio,neutra
internet,neutra
teniar internet,neutra
internet,neutra
atencion,neutra
internet maquina,neutra
internet computadora,neutra
faltar internet compus,negativa
computadora internet prender,neutra
atencion,neutra
felicitacion,positiva
felicitacion limpio,positiva
computadora internet,neutra
atencion,neutra
queja absoluto fluir,negativa
cansado,negativa
felicitacion,positiva
servicio,neutra
gestion cable internet reparticion,neutra
gestion internet equipo contar,neutra
atencion,neutra
internet,neutra
felicitacion,positiva
deberiar conectar computadora internet,neutra
internet compus,neutra
felicitacion,positiva
felicidad,positiva
equipo excelente,positiva
atencion,neutra
malo internet nefasto,negativa
felicidad arreglar compi internet,positiva
ok,positiva
tenia internet computadora,positiva
gustar,positiva
computadora teniar internet servicio,positiva
internet malo,negativa
servicio,neutra
fijar él internet distribucion cables ethernet,neutra
servicio,neutra
atencion lento,negativa
internet,neutra
internet maquina,neutra
gusto equipo,positiva
chico pedir llenar encuesta quitar tiempo,negativa
persona ventanilla septiembre contesto prepotente despota informacion tramite,negativa
computadora internet tardar buscar internet,negativa
internet maquina,neutra
atencion,neutra
felicitacion,positiva
amable atento,positiva
cable red ethernet disponible laptops,neutra
servicio,neutra
funcionar,positiva
eficiencia,positiva
internet,neutra
momento,neutra
internet,neutra
internet computadora,neutra
explicar pedir auditorio escom tenio pedir grupo subdireccion academico andar ocupado problema espera mirar esperar cara asco pasar atender mala gana hablar altaneramente ningunear siquiera dejar explicar situacion reganar culpa denigran espacio auditorio valer incitandote cancelar él,neutra
internet funcionar,positiva
perfecto,positiva
internet,neutra
internet maquina,neutra
mala computadora,negativa
maquina lenta,negativa
equipo funciono,positiva
amable,positiva
amable,positiva
solicitar llenar formulario,neutra
equipo computo atencion academica,neutra
equipo,neutra
servicio,neutra
trabajo,neutra
sugerir conectar ethernet equipo internet monitor,neutra
maquina tarea hora libre dejar programa ningun programa ide practica,negativa
servicio,neutra
acudi ventanilla servicio escolar resolver duda acerca proceso reinscripcion persona atendio encontrar revisar celular atendiar mala seguia utilizar celular considerar apropiado conducta siquiera pareciar interesar él comentar,negativa
maquina lento teclado atorar tecla,negativa
mejorar velocidad internet,neutra
gracias prestar servicio,positiva
simplemente necesitar respuesta durario minuto obviamente horario costar tramite obviamente horario,negativa
momento,neutra
atencion atentar,neutra
servicio,neutra
internet intermitente permitio trabajo,negativa
felicitacion gestion equipo semestre encontrar descuidado maximo privilegio encontrar cosa deshabilitacion cmd felicitar,positiva
necesitar mejorar internet,negativa
servicio,neutra
felicitacion,positiva
felicidad,positiva
cuidado,neutra
servicio,neutra
servicio,neutra
compus,neutra
servicio,neutra
queja atencion equipo inicio mostrar complicación word funciono correctamente,neutra
facilidad,positiva
funcion,neutra
mousse maquina presentar problema click izquierdo,negativa
amable,positiva
marzo aviso biblioteca estario cerrado pm pm abrir querer revisar asunto urgencia saes,negativa
maquina fallar click izquierdo mouse complicar,negativa
excelente,positiva
internet posiblemente cable trozado cambiar agarrar internet,neutra
estario linux windows compus,neutra
servicio correctamente unico problema mencionario aplicación adobe internet explorer quedar congelado capaz cerrar él bloqueado administrador tarea,negativa
felicitacion equipo,positiva
equipo computo,neutra
equipo internet contar programa necesitar,negativa
ubuntu,neutra
servicio,neutra
felicitacion mantener equipo,positiva
felicitación,positiva
felicitacion,positiva
prestamir lab,neutra
gusto computadora periferico mouse fallo ruedita,negativa
felicidad,positiva
gracias,positiva
servicio,neutra
mejorar rendimiento computadora,negativa
tramite sencillo atender actitud comprensivo directo totalmente satisfecho ayuda otorgado ayudar otorgar solución situacion,positiva
servicio,neutra
mayoria horario actividad deportivo,neutra
maquina,neutra
felitqcion,positiva
maquina conexion internet,neutra
coordinacion,neutra
felicidad,positiva
felicitación,positiva
equipo funcional,positiva
atendio,neutra
atencion,neutra
agregar programa,neutra
encuesta equivocado,negativa
felicitacion atender,positiva
atencion,neutra
querer felicitar yadhira gestion escolat aue atender ventanilla amable atento solucionar solicitud excelente actitud enhorabuena desear demas administrativo atender,positiva
paciencia atencion increible quedar agradecido maestro efren,positiva
gracia,positiva
mosso atento,positiva
excelente chango,positiva
gustariar felicitarlo chango,positiva
